Nested Sampling Global Log-Evidence           :    0.342513316287486759E+04  +/-    0.152328691324904703E+00

Dim No.       Mean        Sigma
   1    0.217721778703329927E+00    0.312207775330133105E-03
   2    0.260399570304899953E+03    0.926733229848779771E+01
   3   -0.547710800854138835E+01    0.594103416689714781E+00
   4   -0.223632991924741420E+01    0.249719628529213616E+00
   5   -0.408080375215453284E+01    0.927393655006125806E+00
   6   -0.241742636078956652E+01    0.325655262170272020E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.217785021234842446E+00
   2    0.255090688551172292E+03
   3   -0.507172310808587667E+01
   4   -0.230415407375791670E+01
   5   -0.434854080939720156E+01
   6   -0.234944576976093700E+01

MAP Parameters
Dim No.        Parameter
   1    0.217785021234842446E+00
   2    0.255090688551172292E+03
   3   -0.507172310808587667E+01
   4   -0.230415407375791670E+01
   5   -0.434854080939720156E+01
   6   -0.234944576976093700E+01
